"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2023","AQS","060379035","1","2","ug/m3 SC","2","Lancaster - Fairgrounds","1","100.0000","81102","PM10 Total 0-10um STP","122","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.725389","-118.178601"
"01/02/2023","AQS","060379035","1","4","ug/m3 SC","4","Lancaster - Fairgrounds","1","100.0000","81102","PM10 Total 0-10um STP","122","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.725389","-118.178601"
"01/03/2023","AQS","060379035","1","2","ug/m3 SC","2","Lancaster - Fairgrounds","1","100.0000","81102","PM10 Total 0-10um STP","122","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.725389","-118.178601"
"01/04/2023","AQS","060379035","1","6","ug/m3 SC","6","Lancaster - Fairgrounds","1","100.0000","81102","PM10 Total 0-10um STP","122","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.725389","-118.178601"
"01/05/2023","AQS","060379035","1","4","ug/m3 SC","4","Lancaster - Fairgrounds","1","100.0000","81102","PM10 Total 0-10um STP","122","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.725389","-118.178601"
"01/06/2023","AQS","060379035","1","4","ug/m3 SC","4","Lancaster - Fairgrounds","1","100.0000","81102","PM10 Total 0-10um STP","122","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.725389","-118.178601"
"01/07/2023","AQS","060379035","1","5","ug/m3 SC","5","Lancaster - Fairgrounds","1","100.0000","81102","PM10 Total 0-10um STP","122","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.725389","-118.178601"
"01/08/2023","AQS","060379035","1","6","ug/m3 SC","6","Lancaster - Fairgrounds","1","100.0000","81102","PM10 Total 0-10um STP","122","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.725389","-118.178601"
"01/09/2023","AQS","060379035","1","3","ug/m3 SC","3","Lancaster - Fairgrounds","1","100.0000","81102","PM10 Total 0-10um STP","122","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.725389","-118.178601"
"01/10/2023","AQS","060379035","1","5","ug/m3 SC","5","Lancaster - Fairgrounds","1","100.0000","81102","PM10 Total 0-10um STP","122","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.725389","-118.178601"
